,wd11cd,comparison_Number_of_charities
1255,E05003593,34
1256,E05003594,14
1257,E05003595,11
1258,E05003596,24
1259,E05003597,18
1260,E05003600,3
1261,E05003601,15
1262,E05003602,15
1263,E05003605,21
1264,E05003606,12
1265,E05003607,12
1266,E05003608,38
1267,E05003609,18
1268,E05003611,14
1269,E05003612,19
1270,E05003613,9
1271,E05003614,5
1272,E05003615,14
1273,E05003616,18
1274,E05003617,23
1275,E05003618,9
1276,E05003619,9
1277,E05003620,10
1278,E05003621,10
1279,E05003622,16
1280,E05003623,10
1281,E05003624,19
1282,E05003625,20
1283,E05003626,15
1284,E05003627,8
1285,E05003628,18
1286,E05003629,4
1287,E05003630,11
1288,E05003631,7
1289,E05003632,6
1290,E05003633,23
1291,E05003634,9
1292,E05003635,4
1293,E05003636,6
1294,E05003637,10
1295,E05003638,14
1296,E05003639,11
1297,E05003640,19
1298,E05003641,10
1299,E05003642,8
1300,E05003643,12
1301,E05003644,16
1302,E05003645,5
1303,E05003646,10
1304,E05003647,9
1305,E05003648,11
1306,E05003649,12
1307,E05003650,9
1308,E05003651,15
1309,E05003652,12
1310,E05003653,5
1311,E05003654,24
1312,E05003655,23
1313,E05003656,4
1314,E05003657,13
1315,E05003658,8
1316,E05003659,11
1317,E05003660,18
1318,E05003661,7
1319,E05003662,8
1320,E05003663,6
1321,E05003664,8
1322,E05003665,9
1323,E05003666,10
1324,E05003667,12
1325,E05003668,9
1326,E05003669,14
1327,E05003670,8
1328,E05003672,3
1329,E05003673,14
1330,E05003674,9
1331,E05003675,9
1332,E05003676,13
1333,E05003677,7
1334,E05003678,16
1335,E05003679,9
1336,E05003680,7
1337,E05003681,9
1338,E05003682,13
1339,E05003683,7
1340,E05003684,18
1341,E05003685,23
1342,E05003686,7
1343,E05003687,8
1344,E05003688,13
1345,E05003689,4
1346,E05003690,18
1347,E05003691,4
1348,E05003692,11
1349,E05003693,21
1350,E05003694,38
1351,E05003695,30
1352,E05003696,17
1353,E05003697,2
1354,E05003698,6
1355,E05003699,7
1356,E05003700,7
1357,E05003701,4
1358,E05003703,13
1359,E05003704,14
1360,E05003706,19
1361,E05003708,12
1362,E05003709,12
1363,E05003712,4
1364,E05003713,6
1365,E05003718,19
1366,E05003719,2
1367,E05003720,16
1368,E05003721,1
1369,E05003723,10
1370,E05003724,9
1371,E05003725,13
1372,E05003726,9
1373,E05003727,17
1374,E05003728,13
1375,E05003729,6
1376,E05003730,10
1377,E05003731,12
1378,E05003732,20
1379,E05003733,22
1380,E05003734,10
1381,E05003736,18
1382,E05003743,2
1383,E05003747,1
1384,E05003756,5
1385,E05003760,5
1386,E05003920,17
1387,E05003921,14
1388,E05003922,11
1389,E05003923,33
1390,E05003924,32
1391,E05003925,20
1392,E05003926,16
1393,E05003927,14
1394,E05003928,20
1395,E05003929,9
1396,E05003930,11
1397,E05003931,12
1398,E05003932,30
1399,E05003933,12
1400,E05003934,12
1401,E05003935,15
1402,E05003936,5
1403,E05003937,11
1404,E05003938,26
1405,E05003939,13
1406,E05003940,8
1407,E05003941,12
1408,E05003942,3
1409,E05003943,7
1410,E05003944,8
1411,E05003946,8
1412,E05003947,1
1413,E05003948,4
1414,E05003957,11
1415,E05003958,8
1416,E05003959,8
1417,E05003961,19
1418,E05003962,16
1419,E05003963,10
1420,E05003964,17
1421,E05003965,8
1422,E05003966,24
1423,E05003967,22
1424,E05003968,27
1425,E05003969,12
1426,E05003970,19
1427,E05003971,48
1428,E05003972,30
1429,E05003973,17
1430,E05003974,10
1431,E05003975,23
1432,E05003976,12
1433,E05003977,32
1434,E05003978,15
1435,E05003979,4
1436,E05003980,8
1437,E05003981,3
1438,E05003982,18
1439,E05003983,22
1440,E05003984,8
1441,E05003985,3
1442,E05003986,10
1443,E05003987,31
1444,E05003988,1
1445,E05003989,13
1446,E05003995,30
1447,E05003996,9
1448,E05003997,28
1449,E05003998,17
1450,E05004000,23
1451,E05004001,2
1452,E05004002,13
1453,E05004003,7
1454,E05004004,19
1455,E05004005,16
1456,E05004006,14
1457,E05004007,14
1458,E05004008,10
1459,E05004009,17
1460,E05004010,8
1461,E05004011,19
1462,E05004012,14
1463,E05004013,3
1464,E05004015,19
1465,E05004016,8
1466,E05004017,10
1467,E05004018,8
1468,E05004019,1
1469,E05004020,23
1470,E05004021,24
1471,E05004022,22
1472,E05004023,24
1473,E05004024,12
1474,E05004025,9
1475,E05004026,15
1476,E05004027,11
1477,E05004028,14
1478,E05004029,15
1479,E05004030,13
1480,E05004031,16
1481,E05004032,11
1482,E05004033,12
1483,E05004034,17
1484,E05004035,12
1485,E05004036,9
1486,E05004037,9
1487,E05004041,1
1488,E05004047,9
1489,E05004049,10
